яти	я	им.//ем
благовосприяти	благовосприя.//благовосприня	благовосприим.//благовосприм.//благовосприем.//благовосприйм.//благовосприним.//благовоспринем
восприяти	восприя.//восприня	восприим.//восприм.//восприем.//восприйм.//восприним.//воспринем
прияти	прия.//приня	приим.//прим.//прием.//прийм.//приним.//принем
предвосприяти	предвосприя.//предвосприня	предвосприим.//предвосприм.//предвосприем.//предвосприйм.//предвосприним.//предвоспринем
предприприяти	предприприя.//предприприня	предприприим.//предприприм.//предприприем.//предприприйм.//предприприним.//предприпринем
совосприяти	совосприя.//совосприня	совосприим.//совосприм.//совосприем.//совосприйм.//совосприним.//совоспринем
странновосприяти	странновосприя.//странновосприня	странновосприим.//странновосприм.//странновосприем.//странновосприйм.//странновосприним.//странновоспринем
заяти	зая	заим.//займ.//заем
наяти	ная.//наня	наим.//найм.//наем.//наним.//нанем
пояти	поя.//поня	поим.//пойм.//поем.//поним.//понем
преяти	прея.//преня	преим.//прейм.//преем.//преним.//пренем
уяти	уя.//уня	уим.//уйм.//уем.//уним.//унем
заняти	заня	заним.//занем
отъяти	отъя.//отня	отъим.//отъем.//отым.//отьим.//отним.//отнем.//отьним
совзъяти	совзъя	совзъим.//совзъем.//совзым.//совзьим
изъяти	изъя.//изня	изъим.//изъем.//изым.//изьим.//изним.//изнем.//изьним
объяти	объя.//обня	объим.//объем.//обым.//обьим.//обним.//обнем.//обьним
предотъяти	предотъя.//предотня	предотъим.//предотъем.//предотым.//предотьим.//предотним.//предотнем.//предотьним
предподъяти	предподъя.//предподня	предподъим.//предподъем.//предподым.//предподьим.//предподним.//предподнем.//предподьним
предъяти	предъя.//предня	предъим.//предъем.//предым.//предьим.//предним.//преднем.//предьним
отъяти	отъя.//отня	отъим.//отъем.//отым.//отьим.//отним.//отнем.//отьним
поъяти	поя.//поня	поим.//поем.//поым.//поним.//понем.//поным
подъяти	подъя.//подья.//подня	подъим.//подъем.//подым.//подьим.//подним.//поднем.//подьним
вняти	вня.//въя	внем.//вонм.//воньм.//въим.//въем.//вым.//вьим
взяти	взя.//взня	взим.//взем.//возм.//возьм.//взним.//взнем
сжати	сжа	сжим.//сожм.//сжем
изжати	изжа	изжим.//изожм.//изжем
